Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Баскет 16 крыльев,13.8,19.5,18.6,306
Баскет 25 крыльев,16.6,20.7,15.4,314
Баскет Дуэт оригинальный и острый,16.5,15.1,17.2,271
Баскет Пати,10.2,17.0,22.3,284
Баскет Стар,17.0,15.1,17.2,273
Десерт Мороженое Айс Дрим Клубника или Шоколад KFC,3.6,3.4,32.0,173
Десерт Мороженое Банан-Брауни KFC,2.8,4.5,31.6,178
Десерт Мороженое в рожке Летнее KFC,4.4,3.9,25.3,154
Десерт Мороженое Летняя фантазия Клубничное KFC,3.5,3.5,30.5,167
Десерт Мороженое Попкорн KFC,2.7,3.2,31.1,163
Десерт Пирожок Хот Пай Дуэт Вишня и Шоколад KFC,7.5,29.8,58.3,531
Десерт Чизкейк Нью Йорк Карамель KFC,6.8,21.2,32.1,346
Десерт Чизкейк Нью Йорк Клубника KFC,5.2,20.3,34.1,339
Десерт Чизкейк Нью Йорк Шоколад KFC,5.5,20.7,33.1,341
Завтрак Биггер Утренний оригинальный,11.0,9.9,20.4,214
Завтрак Биггер Утренний острый,10.5,8.8,20.8,205
Завтрак Блинчики KFC,8.0,4.7,32.9,205
Завтрак Боксмастер утренний,9.4,10.5,17.9,203
Завтрак Брейкер,11.2,10.9,22.8,234
Завтрак Бустер,12.6,10.1,19.5,219
Завтрак Картофельный Хашбраун KFC,2.4,52.0,14.1,534
Завтрак Овсяная каша KFC,3.3,1.9,16.0,94
Завтрак Райзер,11.3,8.5,24.7,220
Завтрак Твистер утренний,10.6,10.4,18.8,212
Завтрак Тост с сыром KFC,11.1,12.0,34.1,288
Завтрак Яичница с байтсами KFC,18.9,13.9,6.6,228
Картофель фри KFC (стандартная порция),3.8,15.5,30.1,276
Коктейль молочный Милкшейк Лесная клубника KFC 400 мл,3.4,3.5,27.2,143
Коктейль молочный Милкшейк Шоколадно-Ореховый KFC 400 мл,3.4,3.5,27.2,154
Курица 1 крыло KFC,16.6,20.7,15.4,314
Курица 1 ножка KFC,21.4,12.6,10.1,239
Курица 1 стрипс оригинальный,24.5,15.2,13.7,290
Курица 1 стрипс острый,22.3,10.3,15.8,245
Курица Байтсы Острые,23.5,11.9,16.6,268
Курица Байтсы Терияки,15.1,8.9,26.0,244
Напиток Кофе Капучино KFC 300 мл,1.8,1.1,10.6,60
Салат Цезарь лайт KFC (без заправки),10.6,7.3,7.3,137
Сэндвич Айтвистер,10.0,9.4,27.1,233
Сэндвич Айтвистер Чиз,9.7,13.7,23.3,256
Сэндвич Биг Маэстро Бургер Оригинальный,12.9,10.2,22.3,233
Сэндвич Биггер,12.3,11.4,22.7,242
Сэндвич Боксмастер Жюльен,7.8,15.6,20.1,252
Сэндвич Боксмастер из тостера,8.1,15.6,20.1,252
Сэндвич Зингер,11.6,10.7,22.2,231
Сэндвич Классик,10.9,8.8,24.3,220
Сэндвич Лонгер Жюльен,13.4,15.0,26.3,297
Сэндвич Лонгер Кентукки BBQ,11.6,8.0,28.8,234
Сэндвич Сандерс,10.5,6.1,28.8,212
Сэндвич Твистер Веджи,4.6,18.0,22.2,269
Сэндвич Твистер Жюльен,11.1,13.9,23.6,264
Сэндвич Твистер из тостера,10.0,10.0,22.5,220
Сэндвич Чизбургер Жюльен,11.0,10.5,25.9,242
Сэндвич Шефбургер Джуниор Оригинальный,12.6,8.9,22.2,219
