Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Бутанику кадзукири,3.2,5.1,24.2,156
Бутанику рёри,16.6,22.2,3.4,280
Васаби игай-яки,4.5,8.0,11.5,136
Васаби Сэн Сой Премиум,0.0,9.0,40.0,241
Гёдза VICI с говядиной,8.5,6.7,23.9,194
Гёдза VICI с уткой,8.9,4.0,23.2,168
Гюнику татаки,12.8,2.6,6.8,102
Гютан терияки,11.0,22.5,14.1,223
Даси,5.0,0.0,30.0,120
Дорадо терияки,9.9,5.7,3.4,105
Ика фурай,8.2,4.6,10.0,115
Кани гуриру,7.0,11.6,17.2,201
Кани муни,6.1,5.8,11.0,121
Караса кани,10.1,1.0,9.0,85
Кимучи,1.4,0.7,8.4,45
Кинси маки,8.5,18.0,2.4,210
Мисо,12.3,5.5,24.6,197
Насу тёмире,2.9,4.5,7.4,82
Нинику эби,8.2,13.4,5.8,177
Огава аки,18.8,5.1,10.2,162
Основа для рыбного бульона ХонДаши,22.0,1.0,32.3,226
Ролл Авокадо,2.0,1.3,21.2,105
Ролл Аляска,4.2,2.7,12.2,90
Ролл Ацуй маки,5.8,5.7,15.5,137
Ролл Беруто дайкон,0.3,0.4,23.4,99
Ролл Бутанику кимути,5.1,6.9,15.2,144
Ролл Гейша маки,5.7,7.2,17.4,158
Ролл Дзитаку,6.4,6.1,16.8,148
Ролл Дракон маки,4.8,11.4,16.7,189
Ролл Инари спайси,6.0,4.8,13.8,123
Ролл Кагувасэ,7.2,6.5,20.9,171
Ролл Кадзи сякэ,6.5,5.9,15.8,142
Ролл Калифорния,7.0,8.8,17.2,176
Ролл Кани хината,4.4,6.2,12.7,124
Ролл Каппа маки,1.7,0.7,19.2,90
Ролл Каруй,0.1,0.3,10.8,46
Ролл Киото,8.4,6.3,16.0,155
Ролл Кирои,4.8,8.3,16.3,159
Ролл Кунсэй батакон,8.3,8.9,15.1,174
Ролл Манацуби,4.5,3.4,12.6,99
Ролл Масиро дайкон,2.3,2.0,11.1,71
Ролл Мидори сякэ,9.8,6.5,13.5,152
Ролл Овара,6.5,5.9,15.8,143
Ролл Окинава,5.8,4.8,18.0,139
Ролл Радуга,3.5,2.4,17.3,105
Ролл Рок-н-ролл,5.3,5.6,16.5,138
Ролл Супайсу тэмпура,8.5,6.7,16.5,160
Ролл Сякэ,6.8,2.7,19.3,128
Ролл Сякэ кунсей маки,6.0,5.5,18.1,146
Ролл Сякэ унаги маки,8.5,7.1,13.1,150
Ролл Тамаго маки,7.0,7.0,13.5,145
Ролл Тануки,9.7,11.5,14.4,201
Ролл Тануки фурай маки,5.5,6.6,18.2,154
Ролл Тори ясай,6.5,8.3,5.6,160
Ролл Тэкка маки,2.8,1.7,19.2,105
Ролл Тэмпура,6.1,3.6,18.0,129
Ролл Унаги,5.3,8.3,19.2,173
Ролл Унаги кани,9.8,18.0,19.2,277
Ролл Унаги тидзу,10.9,8.4,11.6,165
Ролл Унаги урамаки,6.1,7.5,15.0,152
Ролл Филадельфия,9.7,6.7,10.8,142
Ролл Харумаки,14.4,15.2,11.9,242
Ролл Цукини маки,1.1,5.9,7.5,87
Ролл Чидори,8.5,8.0,14.3,163
Ролл Эби каиган,5.7,2.8,17.8,120
Сакана кимчи,6.5,3.0,10.6,96
Сан химаго,10.1,7.6,11.2,154
Сарада Бито,1.8,0.6,14.4,70
Сарада Вакамэ су,1.8,1.1,7.2,47
Сарада Гюнику,17.8,6.0,3.9,140
Сарада Ицаку,5.9,9.2,9.3,143
Сарада Кайсо,1.7,2.4,10.8,71
Сарада Киноки,6.7,9.0,3.5,122
Сарада Мидори,1.3,1.2,4.2,33
Сарада Мояши,1.4,2.2,6.0,49
Сарада Рэтасу эби,6.5,4.7,16.0,132
Сарада Сяке-Кунсэно,9.8,18.0,1.9,208
Сарада Тако беби,3.0,1.4,8.6,60
Сарада Тори но маринадо,1.4,5.3,12.4,143
Сарада Тори-Кунсэно,10.0,5.7,15.0,164
